ID,Date,Text
3,2020-02-03,livio defranza epidemija koronavirusa pokazala kineske slabosti razloga paniku bivši riječki gradski vijećnik livio defranza godina nalazi privremenom boravku kineskoj metropoli shenzhenu zaposlen jednoj tamošnjoj kompaniji talijanska redakcija radio rijeke napravila intervju trenutnoj situaciji zemlji naslovnice svjetskih medija posljednjih tjedana najčešće stiže epidemije koronavirusa livio kakva atmosfera kini atmosfera relativno mirna postoji napetost ljudima javnosti nosi masku kihne želim pojasniti posljednja dva tjedna kini kambodži 21 siječnja napustio shenzhen koronavirus praktički povojima ograničen grad wuhan prava eskalacija dogodila noći koronavirus pokazao slabosti snagu kineskog sustava kojem smislu dokazao slabosti kine skupina liječnika wuhana prosinca otkrila virus podijelila informacije drugim kolegama wechatu kineskoj verziji facebooka policija wuhana uhitila grupu liječnika optužili šire lažne vijesti skupinu liječnika natjerali potpis izjave samokritičnosti čak gradonačelnik wuhan zhou xianwang posljednja dva tjedna kineskim društvenim medijima žestoko kritiziran poduzeo potrebne mjere vrijeme intervjua optužio središnju vladu pekinga namjerno ignorirala opstruirala protok informacije koronavirusu dakle svemu opasna situacija političku stabilnost zemlje smijemo zanemariti ekonomski aspekt alberto forchielli poznati talijanski ekonomist pravom prepoznao koronavirusu crnog labuda kineske ekonomije situaciji mnogi ostaju kuće izbjegli zarazu potrošnja pada moglo otvoriti jedan vrtlog neizvjesnosti kinesku ekonomiju snažno pogodili trgovinski rat sjedinjenim američkim državama politička kriza hong kongu posljednjih mjeseci središnja vlada preuzela stvari ruke započela izgradnju privremene bolnice blizini wuhana ublažila pritisak trenutne bolnice wuhanu propagandni potez ponaša stanovništvo kinezi ovakvoj krizi daju potresa sečuanu 2008 godine tropskog monsuna mangkhut 2018 godine velika većina slijedi upute pravila središnje vlade rasprava primjer svim metro stanicama supermarketima kontroliraju tjelesnu temperaturu mnoge tvrtke produžile praznike kinesku novu godinu vlada ima veliki problem 500 milijuna kineza odmoru natjerati rade mnogi nazivaju najvećom ljudskom migracijom povijesti takozvanim chunyunom razdobljem kojem mnogi kinezi putuju velikih gradova selo podrijetla obrnuto povratak posao bit presudni trenutak širenje iskorjenjivanje virusa događa strancima mnoga strana veleposlanstva izravnom kontaktu svojim sunarodnjacima borave područjima visokog rizika talijansko hrvatsko veleposlanstvo započeli evakuaciju wuhana posljednjim podacima wuhanu 50 talijanskih državljana 4 hrvata smatram međutim smijemo paničariti koronavirus treba podcijeniti govorimo relativno malom broju odnosu broj stanovnika najnoviji podaci govore 15000 slučajeva populaciji milijardu pol stanovnika klima histerije stvara kinezima brojne probleme inozemstvu epizoda diskriminacije rasizma izbjegavajmo stvaranje nepotrebne loše slike ovom slučaju mogao povući paralelu našom novijom poviješću devedesetih ostatak europe izbjegavao zemlje rata trajao čak rijeka izravno pogođena ratnim operacijama potrebe izbjegavanjem kineza nekim dijelovima njihove države postoji zdravstvena kriza intervista italiano livio com è l atmosfera cina l atmosfera è relativamente tranquilla c un tensione tra le persone quando qualcuno porta mascherina starnutisce pubblico tengo precisare che nelle ultime due settimane ero cina bensì cambogia 21 gennaio quando ho lasciato shenzhen coronavirus era praticamente agli albori limitato alla città wuhan vera propria escalation è successa un giorno all altro purtroppo coronavirus ha dimostrato tutte le debolezze punti forza del sistema cinese che senso ha dimostrato le debolezze della cina perché quando un gruppo medici wuhan ha scoperto virus verso fine dicembre ha condiviso l informazione con altri colleghi wechat versione cinese facebook polizia wuhan ha arrestato gruppo medici sotto l accusa diffondere notizie false fatto firmare al gruppo medici una dichiarazione autocritica pure sindaco wuhan zhou xianwang che nelle ultime due settimane è stato duramente criticato sui social media cinesi per aver preso misure necessarie tempo durante un intervista ha accusato governo centrale pechino avere volutamente ignorato ostacolato flusso informazioni riguardanti coronavirus quindi tutto sommato è una situazione molto pericolosa per stabilità politica del paese solo dobbiamo ignorare nemmeno l aspetto economico alberto forchielli un noto economista italiano ha giustamente definito coronavirus come un cigno nero per l economia cinese una situazione dove molti restano casa per evitare contagio consumi calano cio potrebbe aprire un ulteriore vortice incertezza per l economia cinese che è stata già duramente colpita dalla guerra commerciale con gli stati uniti dalla crisi politica hong kong negli ultimi mesi governo centrale ha preso le redini della situazione mano ha iniziato costruzione un ospedale temporaneo vicino wuhan solamente per alleviare pressione sugli attuali ospedali wuhan anche come mossa propagandistica come comporta popolazione cinesi questo genere crisi danno del loro meglio dal terremoto del sichuan nel 2008 fino al monsone tropicale mangkhut nel 2018 stragrande maggioranza delle persone segue le istruzioni le regole del governo centrale senza troppe discussioni ad esempio tutte le stazioni metro supermercati controllano temperatura corporea inoltre molte aziende hanno prolungato le vacanze per capodanno cinese governo ha grandi timori come far rientrare lavoro 500 milioni cinesi che sono ancora vacanza molti definiscono maggior migrazione umana nella storia cosidetto chunyun ovvero periodo cui moltissimi cinesi viaggiano dalle grandi città nel loro villaggio d origine durante le festivita viceversa rientro lavoro sara momento cruciale per diffusione debellamento del virus che cosa accade invece per residenti stranieri molte ambasciate straniere sono diretto contatto con loro connazionali residenti nelle zone ad alto rischio l ambasciata italiana quella croata hanno ancora dato via all evacuazione wuhan secondo gli ultimi dati wuhan c erano 50 cittadini italiani 4 croati credo comunque che dobbiamo cadere preda al panico sicuramente coronavirus va sottovalutato però parliamo numeri relativamente bassi rispetto al numero abitanti gli ultimi dati parlano cca 15000 casi una popolazione un miliardo mezzo abitanti questo clima isterico crea pochi problemi ai cinesi all estero sono accaduti diversi episodi discriminazione razzismo purtroppo sì evitiamo fare inutili brutte figure nei loro confronti questo caso potrei fare un parallelo con nostra storia recente negli anni novanta resto dell europa evitava le nostre terre causa delle guerra corso anche fiume era direttamente colpita dalle operazioni belliche ecco evitiamo cinesi solamente perché alcune parti del loro paese c è una crisi sanitaria corso koronavirus livio defranza rijeka
4,2020-02-12,opatija coffeehouse debates koronavirusi epidemije 21 stoljeću prošlog četvrtka kavani hotela continental opatiji održana 26 panel-diskusija sklopu projekta popularizacije znanosti opatija coffeehouse debates četrdesetak slušatelja sudjelovalo zanimljivoj raspravi fokusiranoj koronaviruse epidemije 21 stoljeću svakako predstavlja jednu aktualnijih tema tjednima provlače medije temu otvorili panelisti ivica pavić dobrica rončević pavić redoviti profesor medicinskom fakultetu voditelj katedre zarazne bolesti voditelj odjela infektivne bolesti klinici infektivne bolesti kbc rijeka započeo izlaganje istaknuvši koronavirusi uzročnici brojnih bezopasnih prehlada pravu opasnost predstavljaju mutiraju oblike ljude djeluju težim simptomima prva značajnija kriza vezana koronaviruse dogodila 2002 godine svijetom 8 mjeseci tresla epidemija sars-a pavić naglasio smrtnost sars-a 10 velika sreća virus relativno brzo povukao vraćao virus došao kine veliki problem borbi ove bolesti nastao kineskih vlasti 5 mjeseci skrivale podatke epidemiji imalo značajno vremena spriječi širenje pronađe lijek cijepivo srećom dodaje pavić kina naučila lekciju vijest epidemiji wuhana međunarodne zajednice stigla vrijeme sljedeća opasna epidemija krenula bliskog istoka riječ mers-u bolesti većom smrtnošću srećom značajno proširila sama epidemija traje sars-a koronavirusa wuhana riječ virusima životinja prešli ljude čega ove bolesti javljaju krajevima doticaji životinja ove bolesti imaju simptome slične gripi jakoj prehladi postoje lijekovi cijepiva liječenje svodi borbu opasnih simptoma koronavirus wuhana identificiran ranije spriječilo geografsko širenje dva tjedna broj oboljelih kini porastao 28 tisuća granica kine zabilježeno dvjestotinjak bolesnika području europske unije 28 zaraženih smrtnost novog koronavirusa iznosi 2 umrlo 500 zabilježeno smrtnost bitno niža kine međutim virus značajno brže širi ranijih varijanti sars-om 8 mjeseci trajanja epidemije zaraženo 8 tisuća novim koronavirusom 2 mjeseca zaraženo 28 tisuća brzina širenja usporeno nevjerojatnim naporima kine uznemirila cijelu međunarodnu zajednicu generalni direktor svjetske zdravstvene organizacije zatražio dodatnih 675 milijuna dolara sprečavanje širenja epidemije naglasivši imamo izbor plaćanja tog iznosa daleko većeg iznosa kasnije dobrica rončević voditelj epidemiološkog odjela nastavnom zavodu javno zdravstvo pgž predavač fakultetu zdravstvenih studija rijeci započeo izlaganje istaknuvši novog koronavirusa simptomi javljaju dva tjedna zaraze toga bitno vršiti kontrolu svima dolaze krajeva mogli zaraženi reagiralo ispostavi simptomi povezani novim koronavirusom recimo običnom prehladom zadnja dva tjedna zaraženom području pojave simptomi kolima hitne medicine prebacuje bolničku izolaciju istaknuo strategija europske unije bolest nikad stigne europe počne širiti domaćim stanovništvom cilj zaštititi granice spriječiti virus uopće uđe državu locirati zaraženi izolirati virus proširio države najbolja strategija kriva procjena može koštati slučaj pandemijom gripe 2009 pokušalo spriječiti unos virusa zemlju unaprijed izgubljena bitka resursa potrošeno međutim ističe rončević postoje planovi slučaj unos virusa uspije spriječiti počne širiti hrvatske raspravu povukle brojne relevantne teme sudionike zanimalo bolnice pgž spremne epidemiju većih razmjera panelisti smatraju odjel infektivne bolesti ima manji broj kreveta postoje jasni planovi strategije postupanja slučaju širenja epidemije uključuje prenamjene drugih odjela prostora zbrinuli pacijenti raspravu istaknuo problem brzine prijenosa zaraznih bolesti budući sredstva prijevoza napredovala bolest sati može prelaziti kontinenta kontinent završno istaklo obrazovanje zdravstveni odgoj nužni preduvjeti sprečavanje širenja zaraznih bolesti zaključilo potrebno dodatno ulagati područja lokalnoj razini cijela panel-diskusija snimljena moguće pogledati poveznice nastavku organizatori udruge kulturni front amadria park hotela filozofskog fakulteta rijeci zahvalili svima sudjelovali najavili predavanja mladih znanstvenika održati doktorandi marko luka zubčić miabiturajac predavanje sveučilišnog profesora međunarodno priznatog stručnja johna mcmillana sveučilišta otagu novi zeland bioetici metodama koriste ovom interdisciplinarnom području održati ožujka završno pozvali zainteresirane pridruže sastanku čitalačke grupe bavi knjigom petera singera praktična etika subotu 15 veljače početkom 18 sati prostorima udruge kulturni front m tita 42 opatija raspravljati poglavlju eutanaziji potpomognutom samoubojstvu ivan cerovac rijeka
5,2020-02-22,koronavirus vratima italiji 2 mrtvih 29 zaraženih posljedica koronavirusa italiji preminula javljaju talijanski mediji ženi podsjetimo prva žrtva 78-godišnji adriano trevisan zaprimljen bolnicu skupa jednom osobom dalje stabilno druga žrtva lombardije mediji javljaju moguće povezana slučajem codogna broj zaraženih jutrošnjih 16 porastao 29 broj zaraženih koronavirusom italiji porastao 29 stanovnici regija lombardije veneta najnovija zaražena ima 67 godina veneta međuvremenu stanje prvog zaraženog 38-godišnjaka postalo stabilno javlja rai čeka daljnje poboljšanje prebacilo posebnu jedinicu liječenje koronavirusa milanu rijeka
6,2020-02-23,pacijenti riječkom kbc-u nemaju koronavirus riječkom kbc-u dvije osobe hospitalizirane sumnje koronavirus oba nalaza negativna neslužbeno potvrđeno podsjetimo muškarcu italije ženi rovinja boravila padovi rijeka
7,2020-02-23,pitanja odgovori novom koronavirusu zaštititi 1 koronavirus 2019-ncov novi koronavirus pojavio 2019 godine privremeno nazvan 2019-ncov otkriven kini 2019 novom soju koronavirusa otkriven 2 potječu koronavirusi koronavirusi virusi cirkuliraju životinjama prijeći ljude prijeđu životinje čovjeka prenositi ljudima velik broj životinja nositelji koronavirusa primjer koronavirus bliskoistočnog respiratornog sindroma mers-cov potječe deva sars potječe cibetke životinje reda zvijeri srodnih mačkama 3 može virus usporediti sars-om sezonskom gripom novi koronavirus otkriven kini genetski usko povezan virusom sars 2003 dva virusa imaju slične karakteristike podaci ovom virusu nepotpuni sars pojavio 2002 godine kini razdoblju osam mjeseci 33 države prijavile 8000 slučajeva zaraze virusom sars-a sars-a umrla deset zaraženih trenutno dostupne informacije dovoljne sigurnošću moglo reći smrtonosan 2019-ncov preliminarni nalazi ukazuju smrtonosan sars-cov ncov virusi gripe prenose osobe osobu imati slične simptome dva virusa različita ponašaju drugačije prerano donositi zaključke načinu širenja 2019-ncov preliminarni podaci ukazuju 2019-ncov prenosi sars 4 virus prenosi lako širi virus potječe životinja širi osobe osobu prijenos čovjeka čovjeka trenutno dostupni epidemiološki podaci dovoljni utvrđivanje lakoće uspješnosti širenja virusa ljudima izgleda virus prenosi kapljičnim kihanju kašljanju trenutno procjenjuje vrijeme inkubacije 2019-ncov vrijeme izlaganja virusu pojave simptoma traje dva 12 najzarazniji imaju simptome nalik gripi postoje naznake prenijeti virus imaju simptome pojave podatak potvrdi otežati otkrivanje zaraze 2019-ncov neuobičajeno virusnih infekcija vidi primjera ospica novi virus jasnih dokaza bolest može prenijeti pojave simptoma zaraženi 2019-ncov testiraju vrijeme dijagnosticiraju provedu stroge mjere kontrole zaraze vjerojatnost uspješnog prijenosa čovjeka čovjeka europskim stanovništvom niska sustavna provedba prevenciju kontrolu pokazala učinkovitom kontroli sars-cov mers-cov virusa medicinski podaci 1 simptomi zaraze 2019-ncov poznato virus može uzrokovati blage simptome slične gripi poput povišene tjelesne temperature kašlja otežanog disanja bolova mišićima umora težim slučajevima javlja teška upala pluća sindrom akutnog otežanog disanja sepsa septički šok uzrokovati smrt pacijenta osobe boluju kroničnih bolesti podložnije težim oboljenjima 2 većim rizikom drugih općenito djeca starije osobe osobe kroničnim bolestima poput povišenog tlaka srčanih bolesti dijabetesa poremećaja jetre bolesti dišnih puteva imaju veći rizik razvoja težih simptoma zaraznih bolesti obzirom novoj bolesti dostupni podaci nepotpuni znamo skupine imaju teži ishod zaraze 2019-ncov 3 postoji liječenje bolesti uzrokovane 2019-ncov postoji posebno liječenje ovu bolest pristup liječenju pacijenata infekcijama vezanim koronaviruse liječenje kliničkih simptoma npr povišene temperature pružanje njege npr pomoćna terapija praćenje terapija kisikom infuzija antiviralni lijekovi može učinkovito zaraženih 4 testirati liječnik smatra trebate testirati 2019-ncov uputit daljnji postupak trenutno dijagnostika provodi klinici infektivne bolesti zagrebu prevencija 1 izbjeći zarazu boravite kini izbjegavajte kontakt bolesnim ljudima pogotovo ljudima kašlju izbjegavajte tržnice mjesta drže žive mrtve životinje pridržavajte općih pravila higijeni ruku hrane jela toaleta diranja životinja perite ruke sapunom vodom koristite dezinficijens bazi alkohola izbjegavajte doticaj životinjama njihovim izlučevinama izmetom putujete pridržavajte općih pravila higijeni ruku hrane 2 učiniti bliskom doticaju osobom zaraženom 2019-ncov zadnjih 14 bliskom kontaktu oboljelim 2019- ncov infekcije bit stavljena aktivni nadzor samoizolaciji znači samoizolaciji doma mjeriti tjelesnu temperaturu jednom dnevno svakodnevnom kontaktu nadležnim epidemiologom zdravstvenim nadzorom razvije znakove respiratorne bolesti epidemiolog provodi nadzor postupit skladu sumnjom 2019-ncov dogovara transport bolnicu dijagnostike liječenja kontakti stavljaju zdravstveni nadzor završetku zdravstvenog nadzora razvije simptome respiratorne bolesti epidemiolog šalje obavijest završetku zdravstvenog nadzora nadležnim ustanovama 3 pravila dezinfekciju/pranje ruku pranje dezinfekcija ruku ključni sprječavanje infekcije ruke treba prati temeljito sapunom vodom 20 sekundi sapun voda dostupni možete koristiti dezinficijens sadrži 60 alkohola virus ulazi tijelo oči nos usta nemojte dirati neopranim rukama 4 kirurške maske učinkovita zaštita 2019-ncov kirurške maske sprječavaju širenje infekcije bolesnih druge kirurške maske učinkovite zaštiti zaraženi uobičajeni socijalni kontatk oboljelim dovoljna kirurška maska održavanje udaljenosti jedan metar bolesnika zravstvenim djelatnicima doticaju pacijentima sumnja potvrđen 2019-ncov savjetuje korištenje kirurške maske maske veće razine filtriranja ffp2 zahvata stvara aerosol ffp3 maske 5 postoji cjepivo 2019-ncov trenutno postoji cjepivo koronavirusa 2019-ncov važno spriječiti infekciju njeno daljnje širenje 6 štiti ovogodišnje cjepivo gripe 2019-ncov virus gripe 2019-ncov različiti cjepivo sezonske gripe štiti bolesti uzrokovane virusom 2019-ncov međutim sezona gripe europi traje cjepivo gripe najbolja dostupna zaštita sezonske gripe kakva trenutna situacija hrvatskoj vezano 2019-ncov 1 poduzima hrvatskoj hrvatski zavod javno zdravstvo suradnji klinikom infektivne bolesti napravio postupnik zdravstvene djelatnike slučaju postavljanja sumnje novi koronavirus postupniku detaljno opisani kriteriji postavljanje sumnje infekciju način postupanja osobom posumnja infekciju način uzimanja slanja uzoraka dijagnostiku mjere prevencije suzbijanja širenja zaraze zdravstvenim ustanovama slučaju postavljanja sumnje novi koronavirus postupnik redovito ažurira ovisno novim spoznajama samoj epidemiji bolesti web stranicama hrvatskog zavoda javno zdravstvo objavljene informacije novom koronavirusu javnost građani svakom trenutku mogli imati dostupne informacije možete naći napravljeni letci hrvatskom engleskom kineskom jeziku putnike idu putnike vraćaju zahvaćenog područja letci sadrže upute mjerama prevencije putovanja činiti slučaju pojave znakova infekcije kontakte nadležnih pripravnih epidemiologa letke možete naći napravljene detaljne upute postupanje graničnim prijelazima osobama ulaze hrvatsku unazad 14 boravili području zahvaćenom epidemijom 2019-ncov web stranicama hrvatskog zavoda javno zdravstvo redovito objavljuju aktualni podaci broju oboljelih savjeti vezani sigurnost zaštitu stanovništva možete naći 2 zaražen europi pojave virusa europi zabilježeno slučajeva zaraze obzirom velik protok činjenicu virus prenosi osobe osobu očekuje slučajeva europi 4 broj slučajeva brzo raste dva glavna razloga brzi porast broja slučajeva prijenos virusa osobe osobu poboljšanje sposobnosti otkrivanja slučajeva nagli porast broja slučajeva čest početnoj fazi javljanja nove bolesti informacije putnike 1 trebam odgoditi putovanje aziju trenutno većina slučajeva zabilježena kini kine zabilježeni sporadični slučajevi vjerojatnost zaraze ostalim azijskim zemljama trenutno niska međutim zaraza brzo širi vremenom mijenja rizik infekcije 2 kini razbolio unazad 14 boravila kini naglo razvije znakove bolesti dišnih puteva povišena tjelesna temperatura kašalj grlobolja teškoće disanja treba telefonom javiti liječniku opisati znakobve bolesti reći boravila kini osobe zadnjih 14 ulaska hrvatsku boravile području zahvaćenom epidemijom bolesti izaziva 2019-ncov bit stavljene zdravstveni nadzor ulasku hrvatsku znači im nemaju simptome bolesti ulasku zemlju granični sanitarni inspektor izdati rješenje podvrgavanju zdravstvenom nadzoru kontaktu nadležnim epidemiologom trajanja nadzora zdravstvenog nadzora razvije simptome respiratorne bolesti povišenu temperature epidemiolog postupiti skladu sumnjom bolesti uzrokovanu ncov dogovara transport bolnicu dijagnostike liječenja kontakti stavljaju zdravstveni nadzor 3 dešava leta zračnoj luci leta uoče znakovi bolesti putnika osoblje zrakoplova svim putnicima podijeliti anketne listiće passenger locator cards moraju ispuniti osoblje zrakoplova zatim pokupiti listiće slijetanja zrakoplova slijetanju predati državnom sanitarnom inspektoru graničnom prijelazu temelju listića anketiranja granični sanitarni inspektor izdati rješenje zdravstvenom nadzoru putnike uputiti teritorijalno nadležnog epidemiologa epidemiolog kontaktu putnicima upućeni prikupiti dodatne podatke vjerojatnosti zaraze ovisno načinu kontakta oboljelim putnikom primijeniti odgovarajući zdravstveni nadzor završetku zdravstvenog nadzora razvije simptome respiratorne bolesti epidemiolog šalje obavijest završetku zdravstvenog nadzora nadležnim ustanovama oboljela zrakoplova transportirati bolnicu daljnju obradu isteka zdravstvenog nadzora pokaže oboljeli putnik boluje 2019-ncov prekida zdravstveni nadzor njegovim kontaktima rizik zaraze zračnoj luci sličan riziku svakom drugom mjestu okuplja velik broj virus 2019-ncov životinje prehrambeni proizvodi 1 životinjama proizvodima životinjskog porijekla uvezenim kine situacije zdravljem životinja kini prisustva zaraznih bolesti životinja dozvoljen ograničen uvoz životinja neprerađenih proizvoda životinjskog porijekla kine europsku uniju postoje dokazi životinje proizvodi životinjskog porijekla odobren uvoz europsku uniju predstavljaju rizik zdravlje građana europske unije prisutnosti 2019-ncov kini 2 hranom uvezenom kine tiče uvoza životinja proizvoda životinjskog porijekla situacije zdravljem životinja kini dozvoljen uvoz nekolicine proizvoda životinjskog porijekla kine europsku uniju uvjet ispunjavaju stroge zdravstvene norme podvrgnute kontrolama istih razloga putnici ulaze carinski prostor europske unije smiju prtljazi nositi meso mesne proizvode mlijeko mliječne proizvode zabilježen prijenos 2019-ncov hrane dokaza prehrambeni proizvodi uvezeni kine europsku uniju skladu propisima sigurnosti zdravlja životinja predstavljaju zdravstveni rizik građane europske unije vezan 2019-ncov prvenstveno prenosi osobe drugu 3 kontaktom kućnim ljubimcima drugim životinjama europskoj uniji postojeća istraživanja povezuju 2019-ncov nekim vrstama šišmiša kini isključeno prisustvo drugih životinja vrsta koronavirusa javlja životinja prenositi druge životinje ljude dokazano kućni ljubimci npr psi mačke imaju veći rizik zaraze opće predostrožnosti kontaktu životinjama pridržavajte osnovnih načela higijene 4 sigurnost poštanskih pošiljki kine smatramo temelju dostupnih podataka novom koronavirusu ranije poznatim koronavirusima rizik prijenosa novog koronavirusa ljude poštanskih pošiljki zanemariv naime prijenos novog koronavirusa poštanskih pošiljki zabilježen potpunosti razjašnjeni putovi prijenosa ovog novog virusa dostupni podaci upućuju prijenos čovjeka čovjeka potreban bliski kontakt poput obiteljskog kontakta njegovanje oboljeloga manipuliranje bolesnikom zdravstvenoj ustanovi poznati koronavirusi uključujući virus 18 godina uzrokovao sars virus unazad sedam godina uzrokuje mers prenose izravnim bliskim kontaktom kapljičnim osjetljivi atmosferske uvjete kratko zadržavaju infektivnost ljudskog tijela jedan utvrđen prijenos poštanskih pošiljki koronavirus
8,2020-02-23,riječki kbc stigla druga sumnjom koronavirus čekaju nalazi klinici infektivne bolesti kbc-a rijeka subotu poslijepodne hospitaliziran talijanski državljanin respiratornih smetnji večernji list javlja izolaciji žena rovinja boravila italiji obzirom sumnjive simptome uputama epidemiološke službe pacijenti smješteni izolaciju službeno spomenuo koronavirus ravnateljica klinike infektivne bolesti dr fran mihaljević zagrebu alemka markotić potvrdila uzorci rijeke trebali stići njihovu kliniku utvrdilo kakvoj infekciji riječ stalnom kontaktu kolegama rijeke očekujemo pošalju uzorke utvrdili čemu riječ rekla ravnateljica klinike novu tv rezultati analize očekuju koronavirus
9,2020-02-23,talijan izolaciji riječkom kbc-u sumnja koronavirus klinici infektivne bolesti kbc-a rijeka subotu poslijepodne hospitaliziran talijanski državljanin respiratornih smetnji obzirom sumnjive simptome uputama epidemiološke službe pacijent smješten izolaciju odgovoreno novom listu kbc-a rijeka informacije riječkoj bolnici zaprimljen pacijent italije kojega sumnja zarazu koronavirusom rezultati analize poznati najvjerojatnije poslijepodne
10,2020-02-24,panika italiji broj zaraženih utrostručen 24 sata koronavirus otkriven sredinom tjedna italiji nedjelju zaraženo 152 osobe čime broj oboljelih utrostručio 24 sata italija postala treća zemlja svijetu broju zaraženih posljedica virusa italiji preminule tri osobe talijanska vlada dekretom noći subote nedjelju uvela karantenske zone kojih ulazak izlazak sprečava policija potrebi angažirana vojska tjedan zabranjene javne manifestacije otvorenome zatvorenom venetu lombardiji škole zatvorene liguriji pijemontu emiliji romagni furlaniji primorskoj rijeka
11,2020-02-24,rijeci potvrđeno pet novih pacijenata sumnjom koronavirus klinici infektivne bolesti dr fran mihaljević zagrebu tijeku testiranje ukupno šest uzoraka koronavirus covid-19 jedan splita rijeke dva uzorka zagreba siska priopćeno popodne klinike doznaje uzorci negativni koronavirus naši testirani negativni kratko ministar beroš piše dnevnik rijeke stiže pet uzoraka sprečavanja koronavirusa hrvatska uvela zdravstveni nadzor osobe dolaze talijanskih pokrajina veneto lombarija dalje vrijede mjere nadzora osobe 16 veljače boravile kini južnoj koreji izvijestio ponedjeljak krizni stožer ministarstva zdravstva
12,2020-02-24,testira jedan sumnjivi uzorak koronavirus rijeke klinici infektivne bolesti dr fran mihaljević zagrebu tijeku testiranje ukupno šest uzoraka koronavirus covid-19 jedan splita rijeke dva uzorka zagreba siska priopćeno popodne klinike informacije rezultatima završenog testiranja dostupne zdravstvenih ustanova kojih uzorci upućeni testiranje zagrebačku kliniku infektivne bolesti skladu gdpr-om općom uredbom zaštiti podataka ističe priopćenju dosadašnjim testiranjima klinici nijedan uzorak pozitivan novi koronavirus koronavirus
